FAMILY-ID, BARANGAY
"3486"   , Antagan
"3487"   , Antagan
"3488"   , Antagan
"3489"   , Antagan
"3490"   , Antagan
"3491"   , Antagan
"3492"   , Antagan
"3493"   , Antagan
"3494"   , Antagan
"3495"   , Antagan
"3496"   , Antagan
"3497"   , Antagan
"3498"   , Antagan
"3499"   , Antagan
"3500"   , Antagan
"3501"   , Antagan
"3502"   , Antagan
"3503"   , Antagan
"3504"   , Antagan
"3505"   , Antagan
"3506"   , Antagan
"3507"   , Antagan
"3508"   , Antagan
"3510"   , Antagan
"3511"   , Antagan
"3512"   , Antagan
"3513"   , Antagan
"5537"   , Bagabag
"5540"   , Bagabag
"5542"   , Bagabag
"5545"   , Bagabag
"5547"   , Bagabag
"5550"   , Bagabag
"5552"   , Bagabag
"5555"   , Bagabag
"5559"   , Bagabag
"5563"   , Bagabag
"5576"   , Bagabag
"5577"   , Bagabag
"5582"   , Bagabag
"5583"   , Bagabag
"5588"   , Bagabag
"5589"   , Bagabag
"5591"   , Bagabag
"5595"   , Bagabag
"5599"   , Bagabag
"5602"   , Bagabag
"5605"   , Bagabag
"5607"   , Bagabag
"5609"   , Bagabag
"5611"   , Bagabag
"5613"   , Bagabag
"5616"   , Bagabag
"5620"   , Bagabag
"5622"   , Bagabag
"5625"   , Bagabag
"5627"   , Bagabag
"5630"   , Bagabag
"5632"   , Bagabag
"5636"   , Bagabag
"5667"   , Bagabag
"5672"   , Bagabag
"5690"   , Bagabag
"5694"   , Bagabag
"5716"   , Bagabag
"5717"   , Bagabag
"5720"   , Bagabag
"5722"   , Bagabag
"5725"   , Bagabag
"5726"   , Bagabag
"5737"   , Bagabag
"5740"   , Bagabag
"5743"   , Bagabag
"5746"   , Bagabag
"5748"   , Bagabag
"5750"   , Bagabag
"5758"   , Bagabag
"5800"   , Bagabag
"5804"   , Bagabag
"5805"   , Bagabag
"5808"   , Bagabag
"5810"   , Bagabag
"5813"   , Bagabag
"5815"   , Bagabag
"5819"   , Bagabag
"5822"   , Bagabag
"5828"   , Bagabag
"5830"   , Bagabag
"5833"   , Bagabag
"5836"   , Bagabag
"5839"   , Bagabag
"5842"   , Bagabag
"5846"   , Bagabag
"5849"   , Bagabag
"5851"   , Bagabag
"5856"   , Bagabag
"5859"   , Bagabag
"5862"   , Bagabag
"5865"   , Bagabag
"5867"   , Bagabag
"5871"   , Bagabag
"5873"   , Bagabag
"5874"   , Bagabag
"5876"   , Bagabag
"5879"   , Bagabag
"5881"   , Bagabag
"5883"   , Bagabag
"5886"   , Bagabag
"5887"   , Bagabag
"5889"   , Bagabag
"5894"   , Bagabag
"5895"   , Bagabag
"5897"   , Bagabag
"5899"   , Bagabag
"5900"   , Bagabag
"5902"   , Bagabag
"5904"   , Bagabag
"5905"   , Bagabag
"5906"   , Bagabag
"5910"   , Bagabag
"5912"   , Bagabag
"5914"   , Bagabag
"5915"   , Bagabag
"5918"   , Bagabag
"5919"   , Bagabag
"5921"   , Bagabag
"5923"   , Bagabag
"5924"   , Bagabag
"5926"   , Bagabag
"5927"   , Bagabag
"5928"   , Bagabag
"5930"   , Bagabag
"5932"   , Bagabag
"5933"   , Bagabag
"5936"   , Bagabag
"5938"   , Bagabag
"5939"   , Bagabag
"5940"   , Bagabag
"5942"   , Bagabag
"5943"   , Bagabag
"5944"   , Bagabag
"5946"   , Bagabag
"5947"   , Bagabag
"5950"   , Bagabag
"5951"   , Bagabag
"5953"   , Bagabag
"5955"   , Bagabag
"5957"   , Bagabag
"5961"   , Bagabag
"5962"   , Bagabag
"5964"   , Bagabag
"5969"   , Bagabag
"5971"   , Bagabag
"5973"   , Bagabag
"5975"   , Bagabag
"5978"   , Bagabag
"5981"   , Bagabag
"5982"   , Bagabag
"5983"   , Bagabag
"5985"   , Bagabag
"5988"   , Bagabag
"5990"   , Bagabag
"5992"   , Bagabag
"5994"   , Bagabag
"5995"   , Bagabag
"5997"   , Bagabag
"5999"   , Bagabag
"6001"   , Bagabag
"6003"   , Bagabag
"6004"   , Bagabag
"6005"   , Bagabag
"6007"   , Bagabag
"6008"   , Bagabag
"6349"   , Bagabag
"6351"   , Bagabag
"6352"   , Bagabag
"6353"   , Bagabag
"6354"   , Bagabag
"6355"   , Bagabag
"6356"   , Bagabag
"6358"   , Bagabag
"6359"   , Bagabag
"6361"   , Bagabag
"6363"   , Bagabag
"6364"   , Bagabag
"6365"   , Bagabag
"6366"   , Bagabag
"6367"   , Bagabag
"6368"   , Bagabag
"6576"   , Bagabag
"6580"   , Bagabag
"6581"   , Bagabag
"6582"   , Bagabag
"6583"   , Bagabag
"6585"   , Bagabag
"6587"   , Bagabag
"6588"   , Bagabag
"6589"   , Bagabag
"6591"   , Bagabag
"6592"   , Bagabag
"6593"   , Bagabag
"6595"   , Bagabag
"6600"   , Bagabag
"6616"   , Bagabag
"6617"   , Bagabag
"6619"   , Bagabag
"6624"   , Bagabag
"6627"   , Bagabag
"6628"   , Bagabag
"6629"   , Bagabag
"6630"   , Bagabag
"6631"   , Bagabag
"6633"   , Bagabag
"6635"   , Bagabag
"6636"   , Bagabag
"6639"   , Bagabag
"6640"   , Bagabag
"6643"   , Bagabag
"6644"   , Bagabag
"6646"   , Bagabag
"6648"   , Bagabag
"6649"   , Bagabag
"6651"   , Bagabag
"6654"   , Bagabag
"6656"   , Bagabag
"6658"   , Bagabag
"6661"   , Bagabag
"6662"   , Bagabag
"6663"   , Bagabag
"6664"   , Bagabag
"6665"   , Bagabag
"6666"   , Bagabag
"6667"   , Bagabag
"6669"   , Bagabag
"6670"   , Bagabag
"6671"   , Bagabag
"6673"   , Bagabag
